10:06:37:715 [ALWAYS]	GUDE Logging Started
10:06:37:716 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:06:37:717 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:06:37:717 [ERROR]	Initialize resume cache pointer failure
10:06:37:718 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
10:06:37:718 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:06:40:872 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
10:06:40:872 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:06:40:872 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:06:40:873 [ERROR]	Initialize resume cache pointer failure
10:06:40:873 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:06:40:873 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
